"Kaukasische els (cultuurvariëteit)";5
"Pruimbladige meidoorn";24
"Callery-peer";11
"Nordmannspar";10
"Grootbloemige kornoelje";2
"Paardenkastanje";14
"Wilgbladige eik";20
"Chinese iep";2
"Toona (cultuurvariëteit)";2
"Chinese sierappel";5
"Pruikenboom";3
"Maackia";3
"Canadese judasboom (cultuurvariëteit)";3
"Himalaya iep";1
"Sering (cultuurvariëteit)";12
"Fluweelboom (cultuurvariëteit)";3
"Tupeloboom (cultuurvariëteit)";1
"Judasboom (cultuurvariëteit)";5
"Oosterse amberboom";10
"Plataan (cultuurvarëteit)";1
"Yunnan-sierappel";3
"Japanse lijsterbes (cultuurvariëteit)";2
"Amandelwilg";1
"Pontische eik";4
"Sycopsis";1
"Amandel";1
"Kurkeik";2
"Suikerberk";27
"Valse Christusdoorn";1
"Kardinaalsmuts";6
"Schijnhulst";9
"Virginische vogelkers";2
"Taxus";4
"Dwergmispel";2
"Chinese jeneverbes";22
"Beuk";1
"Tranenden";13
"Kaki";2
"Plataan (cultuurvariëteit)";1
"Bruine hazelaar";4
"Gewone jeneverbes";2
"Sneeuwbal";2
"Alpenden";8
"Bloemwilg (cultuurvariëteit)";1
"Zuurbes";3
"Podocarpus";7
"Boerenjasmijn (cultuurvariëteit)";3
"Oemleria";1
"Kamperfoelie";1
"Leycesteria";6
"Kolkwitzia";1
"Eleutherococcus";1
"Diervilla";1
"Rode kornoelje (cultuurvariëteit)";1
"Japanse lariks (cultuurvariëteit)";2
"Perzische slaapboom (cultuurvariëteit)";2
"Oranjekers";5
"Ceanothus (cultuurvariëteit)";2
"Viburnum (cultuurvariëteit)";2
"Amandel (cultuurvariëteit)";1
"Duinroos";1
"Dwergkwee (cultuurvariëteit)";3
"Gewone sering (cultuurvariëteit)";5
"Sering";2
"Perzische sering";1
"Zevenzonenboom";6
"Parrotiopsis";1
"Veelbloemige kornoelje (cultuurvariëteit)";2
"Japanse cipres (cultuurvariëteit)";4
"Hortensia (cultuurvariëteit)";1
"Jeneverbes (cultuurvariëteit)";6
"Japanse walnoot (cultuurvariëteit)";2
"Rhododendron (cultuurvariëteit)";4
"Japanse storaxboom (cultuurvariëteit)";7
"Japanse paardenkastanje";1
"Fothergilla";1
"Tamarisk (cultuurvariëteit)";5
"Kweepeer (cultuurvariëteit)";1
"Poncirus";2
"Symplocos";3
"Italiaanse cypres (cultuurvariëteit)";21
"Chimonanthus";5
